title,link,published,source,timestamp
China's technology long game - ChinaTalk | Jordan Schneider,https://news.google.com/rss/articles/CBMiaEFVX3lxTFAwb0FFTV8teGxLX2VuNnFBWlFhS05sTnRWZUo3cTRPYVF1NW5nc3NkQV9GaHRab1hENDVGcmFDbms1cjFaX3loRUN0TmJqdTZaY2tMSUFGdTEzVlBCTFRPX2prdUl0cGZl?oc=5,"Fri, 20 Mar 2026 11:46:28 GMT",ChinaTalk | Jordan Schneider,2026-03-22T08:57:57.433104
How Lumen Technologies is using AI to help cut $1 billion in network costs - Fortune,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPOENrYWQzckZWQTlLdG9PbmI5ckhxWFVERC05WllFZTgybHpUYlZBUnlFcklRdlJwdFJIV0pabTdQeUc2djVJMHpqSDZTbmFwUmZ5OWxvZ0Fhenh0Y2MyNnJPelhOTGEtR3dSUS1nQk0wdEdLZEswbGF3MlIwODM4TzZjNVpzWTY5cW1jd09kZFlPcnc0T3h2SW4yeUVvc196cFBzbUpOVEc?oc=5,"Wed, 18 Mar 2026 17:31:00 GMT",Fortune,2026-03-22T08:57:57.433125
"Exclusive: Pentagon to adopt Palantir AI as core US military system, memo says - Reuters",https://news.google.com/rss/articles/CBMirwFBVV95cUxOUFVuVHRfVXhQRTRETHIyLUc5aW9UOGNWSmRmdWJEZ2xScVBLbWtLTWZhQTNVMEx3ZnlTcDBkMi1fZ3pIQ0RCOUxpWDU3R2JLd1VuVjFvbkRSNDhqSGM2RGhqa0RkUklyZmJhRWFKSXl2T1h1RFpMRVJ4cGtiSW9UTHQ0MlJMNjh2YVVGLWFRcktHR2VBOXRBd3BKeFA2b0JWd3A2dWc3UUtPc0VCcGRV?oc=5,"Fri, 20 Mar 2026 23:28:34 GMT",Reuters,2026-03-22T08:57:57.433133
The Long Farewell to Mark Zuckerberg’s Metaverse - The New York Times,https://news.google.com/rss/articles/CBMimwFBVV95cUxObGttbWRTNV80bnRSQmowaHNnQ3lSc19KSUVFVy1pejdxSi1Cd0xNSHhKNU1zNk4wRFRIVDBpT0FCU3NEZ0t6ZmZuYnZRWVYzNmF1ZnhHaEp6MlRaMzdqQzl0T3N0bTh4SGFWVGYzeFAwVndDR2hkSkRpaDRFSDZVN1lrNWFtdHdFc3JadkRkS2F3ckVIUGVZZ3hNNA?oc=5,"Thu, 19 Mar 2026 15:25:10 GMT",The New York Times,2026-03-22T08:57:57.433139
Cordillera will soon be the second community in United States to install innovative wildfire detection technology - VailDaily.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxORVVDOGVjLVJPbW9jem53XzdoWEZmTEduR1p5d2ZaVnZscEtoOFdQRVhia3N3Qkhkd3I1M0RHZ0Q3MWtzU2VkVm42aDBVbTd4ZE94Zjh4VkVXYjdJVlAzVHhBVVl6dUxvSm1jQ2RyWlNOUWU1Q3ZuSGgzNnprWlNoNDNoZDk1N0tvakpLMDFUdEJuYVhMVi00RjBPdUwwbU9BazIxTmJkT1V0UzVla05VaGtOSlA1MEdncEFCU25oNmhmR0xCbnZnX1d6SGVPeVBxV0xram9pN0N6aVlkcmc?oc=5,"Sat, 21 Mar 2026 02:39:37 GMT",VailDaily.com,2026-03-22T08:57:57.433146
"Lurie fires official in charge of permitting reform, technology innovation - sfstandard.com",https://news.google.com/rss/articles/CBMipgFBVV95cUxQeldKR1Zicl9aQmM0cTFLdE1IcG9taGpub1VDaVVXNjBzSDhsVTJJdmF5S1FpS2FMUXM1MzF5T3RYcWF5ZVRYcGREcWNFcmtRcjJpSTE0UDFjQjFZck5WMkh5SEdpSTM1VUV6QnpUYk9zRTZCLTZqOE8wVHdzcFZ6UkwyWmR4NnI1ZU9PVkZhalB5SFBnUS1xSVpxNGJUNVUzLVgyem5B?oc=5,"Sat, 21 Mar 2026 13:00:00 GMT",sfstandard.com,2026-03-22T08:57:57.433152
Wimbledon: Video review technology introduced for 2026 tournament - BBC,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1wa2dUNU1uSXlhb0lvY2dfVkJyR2FBUjcyNXlXOXRBamRwWVZTSVZpRkVCY0EwTEdkLTA0QnBUY25BSnZVdFMzTkxobjVNdUJ5Q29LTUwxb0gyLUtVcGlhLVMyUEQ?oc=5,"Sat, 21 Mar 2026 09:03:51 GMT",BBC,2026-03-22T08:57:57.433158
"The push to end animal testing is gaining steam, but technology can’t fill the gap yet - CNN",https://news.google.com/rss/articles/CBMie0FVX3lxTE0zVFI1OTRiRFI5RV91Nl8tbk5JMDVhczhETFdiRTNjZV9TQWlDVWk3dWJqWC1uYTNZQVRTLWRwdkdQcldObERSRUlCV2xWc0g0N053N29EdWhxYmp5M0ZtRndMLWhDZkdScms5UkZ0YVE1Z3BBcWxDdmhjOA?oc=5,"Fri, 20 Mar 2026 11:00:35 GMT",CNN,2026-03-22T08:57:57.433164
Micron Technology And Its Real Value (NASDAQ:MU) - Seeking Alpha,https://news.google.com/rss/articles/CBMigwFBVV95cUxQMlFjQWFEc2UwUndmbUhFX25uQlQ0ZHo4V3dFOWVoSE1Bb2xMNENwcklETTBuTXo1WGdtSEhxWFpiMTVTY2FNQUVEbjFpVktjZGllcDMta3ozcG43eDJ3T0FNSVJsUGlrX1RKdmZEcjJSRExpNGlMRW1ydUxGZ3NOSGZKcw?oc=5,"Sat, 21 Mar 2026 05:03:23 GMT",Seeking Alpha,2026-03-22T08:57:57.433170
Molecular technology reveals that shark meat is being sold as corvina in Ecuador - EL PAÍS English,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPbklLVHA1SHFOWXdqOFhPa0dmVi1kb01sZ2NrbUszMk42RUE3VXd4RFl4QXhseG52RS1XcVJvZ3Ewc3plRksyUHFpQW9SZ2VmczFKR2FteU5JM3A3Vm85NVRRU05LNXdZRkpvdnJiam56Y0lqd2FTb2ZRYlRQNVdHWVk0RDFPcXJhSGJiMXZtQ20tTy1TaW5QYkJKRmV1QWFJX3AxTkhLX0VnZHM3am1FSzY2TW5ZWFNwMFA2YnJJcHpTVFdSb2pYcFpucklhNGJBX1HSAeYBQVVfeXFMT1IzR0Qtd294b1U2dHFSN2hlNEV5NFFSTlFrdjVyNUJ3eXZGdlVoU1JLd0g3VmEzNEIzV0tHWTcwMkZYODQ2Z0p4YzRkZTJmOGFSTUg5Rks2aUVQNHVUNUVWWDVnOHZZWHRwdnNvOXl3bjE1OGR4Q0tmX3BCd2R4bzgxNks5b3pDLXFvTWJIbi1uNG0zMHdSQ1JxV3Y2aS0zMWdnM3lXWFdybnd6d0VyYkFWRXlaT3VPc1JhU0VhWjFPMTlrOVVkbnllc3RuTTFJM3RCbGNrZGlBN2ZteDRaeFc0QV82Wnc?oc=5,"Sat, 21 Mar 2026 04:00:00 GMT",EL PAÍS English,2026-03-22T08:57:57.433176
